timestamp,temperature,humidity
2025-09-09 06:43:08,24.3,67.0
2025-09-09 06:43:11,24.4,66.8
2025-09-09 06:43:13,24.4,66.7
2025-09-09 06:43:15,24.4,67.0
2025-09-09 06:43:17,24.3,66.2
2025-09-09 06:43:20,24.4,66.8
2025-09-09 06:43:22,24.5,66.0
2025-09-09 06:43:24,24.4,66.6
2025-09-09 06:43:26,24.4,67.4
2025-09-09 06:43:29,24.4,66.6
2025-09-09 06:43:31,24.4,66.5
2025-09-09 06:43:33,24.4,66.5
2025-09-09 06:43:35,24.4,66.6
2025-09-09 06:43:38,24.3,66.5
2025-09-09 06:43:40,24.4,66.7
2025-09-09 06:43:42,24.3,66.3
2025-09-09 06:43:44,24.4,66.3
2025-09-09 06:43:47,24.5,66.8
2025-09-09 06:43:49,24.4,66.0
2025-09-09 06:43:53,24.5,66.5
2025-09-09 06:43:56,24.4,66.6
2025-09-09 06:43:58,24.4,66.0
2025-09-09 06:44:00,24.5,65.4
2025-09-09 06:44:02,24.4,66.1
2025-09-09 06:44:05,24.4,66.3
2025-09-09 06:44:07,24.4,66.6
2025-09-09 06:44:11,24.4,66.0
2025-09-09 06:44:14,24.4,66.3
2025-09-09 06:44:16,24.4,66.2
2025-09-09 06:44:18,24.4,66.1
2025-09-09 06:44:20,24.5,65.9
2025-09-09 06:44:23,24.5,66.2
2025-09-09 06:44:25,24.4,66.2
2025-09-09 06:44:27,24.4,66.6
2025-09-09 06:44:29,24.5,65.9
2025-09-09 06:44:32,24.4,66.4
2025-09-09 06:44:34,24.4,66.1
2025-09-09 06:44:36,24.5,66.3
2025-09-09 06:44:38,24.4,66.3
2025-09-09 06:44:41,24.5,66.3
2025-09-09 06:44:43,24.4,66.1
2025-09-09 06:44:45,24.4,66.3
2025-09-09 06:44:47,24.4,66.2
2025-09-09 06:44:50,24.4,66.3
2025-09-09 06:44:52,24.4,66.1
2025-09-09 06:44:54,24.4,66.0
2025-09-09 06:44:56,24.4,66.6
2025-09-09 06:44:59,24.4,66.8
2025-09-09 06:45:01,24.3,66.8
2025-09-09 06:45:03,24.5,66.3
2025-09-09 06:45:05,24.4,66.5
2025-09-09 06:45:08,24.4,65.9
2025-09-09 06:45:10,24.4,66.5
2025-09-09 06:45:12,24.5,66.3
2025-09-09 06:45:15,24.4,66.1
2025-09-09 06:45:17,24.4,65.0
2025-09-09 06:45:19,24.4,66.2
2025-09-09 06:45:21,24.4,66.1
2025-09-09 06:45:24,24.5,66.1
2025-09-09 06:45:26,24.4,66.3
2025-09-09 06:45:28,24.4,67.1
2025-09-09 06:45:30,24.4,66.4
2025-09-09 06:45:33,24.4,66.6
2025-09-09 06:45:35,24.4,66.0
2025-09-09 06:45:42,24.4,66.5
2025-09-09 06:45:44,24.4,66.2
2025-09-09 06:45:46,24.4,66.0
2025-09-09 06:45:48,24.4,66.6
2025-09-09 06:45:53,24.4,66.2
2025-09-09 06:45:55,24.4,65.8
2025-09-09 06:45:57,24.4,65.7
2025-09-09 06:46:00,24.4,66.5
2025-09-09 06:46:02,24.4,65.9
2025-09-09 06:46:04,24.4,66.0
2025-09-09 06:46:06,24.4,66.0
2025-09-09 06:46:09,24.4,66.6
2025-09-09 06:46:11,24.4,66.7
2025-09-09 06:46:13,24.4,66.3
2025-09-09 06:46:15,24.4,66.3
2025-09-09 06:46:18,24.4,66.1
2025-09-09 06:46:20,24.4,66.2
2025-09-09 06:46:22,24.4,67.2
2025-09-09 06:46:24,24.4,66.2
2025-09-09 06:46:27,24.4,66.4
2025-09-09 06:46:29,24.4,66.3
2025-09-09 06:46:31,24.4,66.5
2025-09-09 06:46:33,24.4,67.0
2025-09-09 06:46:36,24.5,66.2
2025-09-09 06:46:38,24.4,65.7
2025-09-09 06:46:40,24.3,66.4
2025-09-09 06:46:42,24.4,66.2
2025-09-09 06:46:45,24.4,66.1
2025-09-09 06:46:47,24.4,66.6
2025-09-09 06:46:49,24.4,65.9
2025-09-09 06:46:51,24.4,66.3
2025-09-09 06:46:54,24.4,66.3
2025-09-09 06:46:56,24.4,66.3
2025-09-09 06:46:58,24.5,66.1
2025-09-09 06:47:00,24.4,65.7
2025-09-09 06:47:03,24.3,66.5
2025-09-09 06:47:05,24.4,66.6
2025-09-09 06:47:07,24.4,66.1
2025-09-09 06:47:09,24.4,66.8
2025-09-09 06:47:12,24.5,66.6
2025-09-09 06:47:14,24.4,66.5
2025-09-09 06:47:16,24.3,65.5
2025-09-09 06:47:18,24.4,66.5
2025-09-09 06:47:21,24.4,66.2
2025-09-09 06:47:23,24.3,66.6
2025-09-09 06:47:25,24.4,66.4
2025-09-09 06:47:27,24.3,66.3
2025-09-09 06:47:30,24.4,66.0
2025-09-09 06:47:32,24.4,66.3
2025-09-09 06:47:34,24.4,65.9
2025-09-09 06:47:36,24.4,66.5
2025-09-09 06:47:39,24.4,65.8
2025-09-09 06:47:41,24.4,66.5
2025-09-09 06:47:43,24.4,65.8
2025-09-09 06:47:45,24.4,66.6
